"Study_Group","BC_Mean","BC_SD","BC_F","BC_p","UF_Mean","UF_SD","UF_F","UF_p"
"Space_Flight",0.5741,0.1181,40.4537,0.001,0.4777,0.0983,24.7217,0.001
"Terrestrial_Soil",0.3984,0.0822,40.4537,0.001,0.3641,0.0623,24.7217,0.001
