id,(Intercept),Study_GroupTerrestrial_Soil
0319-6G20,0.09860284858049566,0.6175133501237786
11-24,0.029546340324405222,2.017250597420875
27F-1492R,-0.007909243765708762,-0.7259144931663721
28-YEA-48,3.1685101549289567,-5.372376174380991
4-29-1,-0.007909243765708802,1.0512629987647428
67-14,0.7568434288723077,2.9610666418622538
A0839,-0.007909243765708762,-0.5246160324734819
A21b,-0.00790924376570896,2.8485467935751148
A4b,-0.007909243765708724,-0.051613618737579525
AD3,-0.007909243765708882,1.659015987008384
ADurb.Bin063-1,-0.007909243765708802,2.428856030040617
AKIW659,-0.007909243765708882,0.41431083041054473
AKYG1722,-0.00790924376570896,0.14837724242409323
AKYH767,-0.007909243765708882,-0.024550139124072334
Abditibacterium,-0.007909243765708882,0.5905139846631746
Achromobacter,0.06810972605317894,-0.5026588337682001
Acidibacter,3.055672914831762,0.2536107955679525
Acidothermus,-0.007909243765709277,3.2836013849732746
Acinetobacter,3.4192257432286883,-4.539292530872425
Actinoallomurus,-0.007909243765708724,1.451097582648321
Aeromicrobium,0.24332133193338182,-0.23624458497286138
Agromyces,-0.007909243765708882,0.2125970622829203
Ahniella,-0.007909243765709,-0.05150659370777699
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.22542143558466804,0.5240741388307617
Ammoniphilus,-0.007909243765708762,-0.31444779853850924
Amycolatopsis,0.010448399149907557,1.3086962456316193
Anaerolinea,-0.007909243765708684,0.022842759115593747
Anaerolineae,-0.007909243765708882,0.008587212662456878
Anaeromyxobacter,-0.00790924376570896,2.178674266912612
Aquabacterium,2.2296533899303825,-4.433519409382416
Aquicella,-0.007909243765708802,2.2415059651334683
Arenimonas,-0.007909243765708762,-0.03724857735646303
Armatimonadales,-0.007909243765708762,-0.8533129190902089
Asinibacterium,1.6331808258512066,-3.83704684530324
B10-SB3A,-0.007909243765708724,-0.22126338725187544
BD2-11_terrestrial_group,-0.00790924376570896,0.228441962482683
BD7-11,-0.007909243765708882,0.8120457579456883
BIrii41,-0.00790924376570912,1.7743484560692142
BSV26,-0.007909243765708802,0.2844416876099185
Bacillus,1.2930875473452987,2.416653734923858
Bathyarchaeia,-0.007909243765708762,-0.9352034395661888
Bdellovibrio,0.09196419394412685,0.3390563428420812
Bifidobacterium,0.06241830292640457,-1.0714646949305482
Blfdi19,-0.007909243765708762,-0.2090794508563576
Bosea,3.8481788418741556,-5.256065211147163
Bradyrhizobium,5.559653578652008,-7.763519598104042
Brevibacillus,0.7472361284265664,-2.8961715334451945
Bryobacter,1.6188949853783507,1.6257237970956702
Burkholderia-Caballeronia-Paraburkholderia,5.373630039988285,-3.4622784559933804
C0119,0.09686527917035431,1.8278641897942691
CCD24,-0.007909243765708802,0.43855665824222356
CL500-29_marine_group,-0.007909243765708724,-0.3563364068230328
CPla-3_termite_group,-0.007909243765708762,-0.09839455179432477
Candidatus_Adlerbacteria,-0.007909243765708684,-0.2151120605407919
