id,(Intercept),Study_GroupTerrestrial_Soil
0319-6G20,1.3932503207448779,3.594684426132408
11-24,0.5132869843601258,6.910498188092056
27F-1492R,-0.18990108136738154,-3.6319647185645594
28-YEA-48,14.171222386787697,-21.0969954053639
4-29-1,-0.18990108136738248,5.526491171333355
67-14,6.132993750228725,19.44027409895787
A0839,-0.18990108136738149,-3.5639059621117806
A21b,-0.18990108136738632,38.91457902776849
A4b,-0.18990108136738063,-0.25589929011563856
AD3,-0.18990108136738443,9.528043622579313
ADurb.Bin063-1,-0.18990108136738254,20.57674518401606
AKIW659,-0.18990108136738437,2.372333020607782
AKYG1722,-0.18990108136738634,0.6546342601700295
AKYH767,-0.18990108136738437,-0.11199773840402413
Abditibacterium,-0.18990108136738446,2.710358281147954
Achromobacter,0.9411603552889474,-1.243232117592329
Acidibacter,11.044249814912842,0.8309026245076614
Acidothermus,-0.18990108136739392,30.419137252028207
Acinetobacter,12.63273452613797,-10.400112760865044
Actinoallomurus,-0.18990108136738063,5.027113809996857
Aeromicrobium,2.8641710804587928,-0.8516250280868891
Agromyces,-0.18990108136738446,0.8786806306350429
Ahniella,-0.18990108136738723,-0.1819978672326337
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,2.4210945530407155,1.5911198168195786
Ammoniphilus,-0.18990108136738146,-0.7282781178170606
Amycolatopsis,0.23051586290264955,10.741387835548585
Anaerolinea,-0.18990108136737968,0.09129154737210624
Anaerolineae,-0.18990108136738443,0.034136218152382644
Anaeromyxobacter,-0.18990108136738632,10.358533374402809
Aquabacterium,9.614125010834641,-16.92231264717827
Aquicella,-0.18990108136738248,22.381695897356952
Arenimonas,-0.18990108136738157,-0.12263411561583368
Armatimonadales,-0.18990108136738154,-5.097555268616856
Asinibacterium,8.080060565432278,-16.25659067373224
B10-SB3A,-0.18990108136738054,-1.0480137753855157
BD2-11_terrestrial_group,-0.18990108136738632,1.0494162854141023
BD7-11,-0.18990108136738443,4.613888093747678
BIrii41,-0.18990108136739015,7.680965261484032
BSV26,-0.18990108136738248,1.459156172459712
Bacillus,6.162528649925085,7.267450358412431
Bathyarchaeia,-0.18990108136738154,-4.552419598672813
Bdellovibrio,1.3483145868208906,1.6764121541344823
Bifidobacterium,1.204444669363752,-3.867301832511191
Blfdi19,-0.18990108136738146,-0.9465677997768404
Bosea,14.991139243651816,-13.572850731983312
Bradyrhizobium,17.70793316588142,-23.051340227329195
Brevibacillus,4.384913434411906,-13.756770433893042
Bryobacter,8.56364226064932,8.174175436384761
Burkholderia-Caballeronia-Paraburkholderia,17.948559771914244,-8.982434614836466
C0119,1.4837581047531343,11.22990614679531
CCD24,-0.18990108136738248,2.2408832113753356
CL500-29_marine_group,-0.18990108136738057,-1.9083239945604862
CPla-3_termite_group,-0.1899010813673816,-0.7872628907796829
Candidatus_Adlerbacteria,-0.18990108136737963,-1.445229988468616
Candidatus_Babela,16.10538393669234,-22.199319039389348
Candidatus_Kaiserbacteria,-0.18990108136738065,0.9392027251195628
Candidatus_Koribacter,-0.18990108136738248,37.20435459880225
Candidatus_Magasanikbacteria,-0.1899010813673844,0.6500099495048218
Candidatus_Obscuribacter,4.705160866075846,-15.941749772982146
Candidatus_Ovatusbacter,-0.18990108136738623,0.19406362187190765
Candidatus_Paracaedibacter,3.6167202400871306,-12.070479533101073
Candidatus_Solibacter,-0.18990108136739398,34.663432540379226
Candidatus_Udaeobacter,-0.18990108136739398,25.898869971440455
Caulobacter,13.097434866755531,-20.56115640380197
Cellulomonas,13.688569664054508,-19.490999990079132
Chthoniobacter,0.44290765174645136,-3.1433976511812776
Chthonomonadales,-0.18990108136738248,0.9535666228356321
Chthonomonas,-0.18990108136738063,-1.9243509054142705
Chujaibacter,-0.18990108136737877,14.701562025705476
Cloacibacterium,3.459533204239751,-14.896691269371203
Clostridium_sensu_stricto_1,0.3072168396268426,3.43073952610364
Clostridium_sensu_stricto_10,-0.18990108136739017,3.232818932157218
Cohnella,10.307174253760534,-14.941157853306153
Conexibacter,-0.18990108136738632,10.667011239592933
Corynebacterium,12.734335480951318,-17.347742114819155
Cupriavidus,17.50167848516041,-14.182808900302035
Cutibacterium,4.037743128951299,-16.38130693936187
DS-100,-0.18990108136738446,0.5286434461196797
DSSD61,4.860929469761842,-16.659348077689863
Dactylosporangium,-0.18990108136738065,10.503506693109466
Defluviicoccus,0.11494819339905121,3.1964114590002484
Desulfobacca,-0.18990108136738246,0.3373469822720434
Devosia,5.875924939623444,-0.852461961007955
Dokdonella,-0.1899010813673862,8.465176410173582
Domibacillus,-0.18990108136738829,2.1582632294113795
Dongia,-0.18990108136739017,34.65666008986546
Dyella,0.7651326252608702,-2.1224887696139088
Edaphobacter,2.7330061817698703,-0.431958029431988
Ellin516,-0.18990108136738632,6.366793335963935
Ellin517,-0.18990108136738246,0.9866362177830519
Ellin6067,-0.18990108136739017,43.33283848165274
